book_id,goodreads_book_id,authors,original_publication_year,title,average_rating,borrowed,available,rating_count
136,137791,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,3.79,0,1,1
137,10964,Diana Gabaldon,1991,"Outlander (Outlander, #1)",4.2,0,1,1
138,12296,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,3.37,0,1,1
139,9460487,Ransom Riggs,2011,"Miss Peregrines Home for Peculiar Children (Miss Peregrines Peculiar Children, #1)",3.89,0,1,1
140,6892870,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,0,1,1
141,18007564,Andy Weir,2012,The Martian,4.39,0,1,1
142,5043,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,0,1,1
143,18143977,Anthony Doerr,2014,All the Light We Cannot See,4.31,0,1,1
144,8664353,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,0,1,1
145,976,Dan Brown,2001,Deception Point,3.67,0,1,1
146,17333223,Donna Tartt,2013,The Goldfinch,3.87,0,1,1
147,1217100,Jay Asher,2007,Thirteen Reasons Why,4.02,0,1,1
148,2865,Tracy Chevalier,1999,Girl with a Pearl Earring,3.85,0,1,1
149,4374400,Gayle Forman,2009,"If I Stay (If I Stay, #1)",3.96,0,1,1
150,4989,Anita Diamant,1997,The Red Tent,4.16,0,1,1
151,28186,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,0,1,1
152,5526,Nicholas Sparks,2006,Dear John,4.01,0,1,1
153,1582996,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)",4.21,0,1,1
154,8852,William Shakespeare,1606,Macbeth,3.88,0,1,1
155,15241,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)",4.42,0,1,1
156,42156,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)",3.83,0,1,1
158,6310,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,0,1,1
159,2120932,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,0,1,1
160,2623,Charles Dickens,1860,Great Expectations,3.75,0,1,1
161,18512,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)",4.51,0,1,1
162,49552,"Albert Camus, Matthew    Ward",1942,The Stranger,3.96,0,1,1
163,7736182,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)",4.35,0,1,1
164,15745753,Rainbow Rowell,2013,Eleanor & Park,4.11,0,1,1
165,13497,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,0,1,1
166,7735333,Ally Condie,2010,"Matched (Matched, #1)",3.68,0,1,1
167,4407,Neil Gaiman,2001,"American Gods (American Gods, #1)",4.11,0,1,1
168,149267,"Stephen King, Bernie Wrightson",1978,The Stand,4.34,0,1,1
169,6400090,Nicholas Sparks,2008,The Last Song,4.14,0,1,1
170,11125,Dan Brown,1998,Digital Fortress,3.6,0,1,1
171,6969,"Jane Austen, Fiona Stafford",1815,Emma,3.99,0,1,1
173,227463,Anthony Burgess,1962,A Clockwork Orange,3.98,0,1,1
174,1812457,William Paul Young,2007,The Shack,3.74,0,1,1
175,4502507,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5,0,1,1
176,18342,Stephen King,1986,It,4.18,0,1,1
178,6514,Sylvia Plath,1963,The Bell Jar,3.98,0,1,1
179,252577,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)",4.07,0,1,1
180,52036,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,3.99,0,1,1
181,168642,Truman Capote,1965,In Cold Blood,4.05,0,1,1
182,6304335,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)",3.76,0,1,1
183,7171637,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)",4.33,0,1,1
184,39988,"Roald Dahl, Quentin Blake",1988,Matilda,4.29,0,1,1
185,9361589,Erin Morgenstern,2011,The Night Circus,4.03,0,1,1
186,37470,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04,0,1,1
187,24770,Scott Westerfeld,2005,"Uglies (Uglies, #1)",3.86,0,1,1
188,10664113,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)",4.31,0,1,1
189,33,J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47,0,1,1
190,12262741,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail,3.96,0,1,1
191,472331,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,4.35,0,1,1
192,186074,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55,0,1,1
193,3228917,Malcolm Gladwell,2008,Outliers: The Story of Success,4.11,0,1,1
194,153747,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby-Dick or, The Whale",3.46,0,1,1
195,2728527,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,4.12,0,1,1
196,5759,Chuck Palahniuk,1996,Fight Club,4.2,0,1,1
197,301082,Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse, #1)",3.96,0,1,1
198,11486,Alice Walker,1982,The Color Purple,4.17,0,1,1
199,12691,John Grogan,2005,Marley and Me: Life and Love With the World's Worst Dog,4.12,0,1,1
200,16299,Agatha Christie,1939,And Then There Were None,4.23,0,1,1
201,6411961,Dan Brown,2009,"The Lost Symbol (Robert Langdon, #3)",3.66,0,1,1
202,6339664,Becca Fitzpatrick,2009,"Hush, Hush (Hush, Hush, #1)",4,0,1,1
203,11505797,Jamie McGuire,2011,"Beautiful Disaster (Beautiful, #1)",4.15,0,1,1
204,5326,Charles Dickens,1843,A Christmas Carol,4.02,0,1,1
205,43763,Anne Rice,1976,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97,0,1,1
206,10507293,Kiera Cass,2012,"The Selection (The Selection, #1)",4.15,0,1,1
207,6853,Janet Evanovich,1994,"One for the Money (Stephanie Plum, #1)",4.03,0,1,1
208,6493208,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,4.04,0,1,1
209,23807,Thomas Harris,1988,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.14,0,1,1
210,345627,Richelle Mead,2007,"Vampire Academy (Vampire Academy, #1)",4.14,0,1,1
211,40102,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,3.89,0,1,1
212,6867,Ian McEwan,2001,Atonement,3.88,0,1,1
213,485894,"Franz Kafka, Stanley Corngold",1915,The Metamorphosis,3.78,0,1,1
214,561456,Rick Riordan,2007,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33,0,1,1
215,9969571,Ernest Cline,2011,Ready Player One,4.31,0,1,1
216,3153910,Garth Stein,2006,The Art of Racing in the Rain,4.19,0,1,1
217,21996,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98,0,1,1
218,13572249,Sylvia Day,2012,"Bared to You (Crossfire, #1)",4.19,0,1,1
219,11127,"C.S. Lewis, Pauline Baynes",1956,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24,0,1,1
220,3609760,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,4.23,0,1,1
221,60748,Dave Pelzer,1995,"A Child Called ""It"""" (Dave Pelzer #1)""",4.08,0,1,1
222,7869,Robert Ludlum,1980,"The Bourne Identity (Jason Bourne, #1)",3.98,0,1,1
223,249747,Eoin Colfer,2001,"Artemis Fowl (Artemis Fowl, #1)",3.82,0,1,1
224,6487308,Lauren Kate,2009,"Fallen (Fallen, #1)",3.74,0,1,1
225,4406,John Steinbeck,1952,East of Eden,4.35,0,1,1
226,5886881,Gillian Flynn,2009,Dark Places,3.92,0,1,1
227,5359,John Grisham,1993,The Client,3.97,0,1,1
228,228333,"Emma McLaughlin, Nicola Kraus",2002,"The Nanny Diaries (Nanny, #1)",3.4,0,1,1
229,24213,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland & Through the Looking-Glass,4.06,0,1,1
230,2156,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,4.13,0,1,1
231,556602,Tatiana de Rosnay,2007,Sarah's Key,4.14,0,1,1
232,43615,Stephen King,1982,"The Gunslinger (The Dark Tower, #1)",3.99,0,1,1
233,9712,"Gabriel Garca Mrquez, Edith Grossman",1985,Love in the Time of Cholera,3.89,0,1,1
234,439288,Laurie Halse Anderson,1999,Speak,4,0,1,1
235,17802724,Liane Moriarty,2013,The Husband's Secret,3.92,0,1,1
236,1898,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mount Everest Disaster,4.11,0,1,1
237,10592,Stephen King,1974,Carrie,3.93,0,1,1
238,242006,Augusten Burroughs,2002,Running with Scissors,3.7,0,1,1
239,8908,Max Brooks,2006,World War Z: An Oral History of the Zombie War,4.01,0,1,1
240,17212231,Dan Brown,2013,"Inferno (Robert Langdon, #4)",3.8,0,1,1
241,47281,Lois Lowry,1989,Number the Stars,4.11,0,1,1
242,13145,James Patterson,1993,"Along Came a Spider (Alex Cross, #1)",4.08,0,1,1
243,10614,Stephen King,1987,Misery,4.11,0,1,1
244,66559,Gillian Flynn,2006,Sharp Objects,3.92,0,1,1
245,2839,Katherine Paterson,1977,Bridge to Terabithia,3.98,0,1,1
246,30183,"P.C. Cast, Kristin Cast",2007,"Marked (House of Night, #1)",3.79,0,1,1
247,36072,Stephen R. Covey,1989,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.05,0,1,1
248,1622,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream,3.94,0,1,1
249,4588,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,3.97,0,1,1
250,11387515,R.J. Palacio,2012,Wonder,4.43,0,1,1
251,233093,Dr. Seuss,1957,The Cat in the Hat,4.15,0,1,1
252,11235712,Marissa Meyer,2012,"Cinder (The Lunar Chronicles, #1)",4.15,0,1,1
253,16160797,"Robert Galbraith, J.K. Rowling",2013,"The Cuckoo's Calling (Cormoran Strike, #1)",3.83,0,1,1
254,6068551,Maggie Stiefvater,2009,"Shiver (The Wolves of Mercy Falls, #1)",3.78,0,1,1
255,662,"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged,3.68,0,1,1
256,49436,"Greg Mortenson, David Oliver Relin",2006,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,3.64,0,1,1
257,13023,"Jane Carruth, Lewis Carroll, Rene Cloke",1865,Alice in Wonderland,4.03,0,1,1
258,1232,"Carlos Ruiz Zafn, Lucia Graves",2001,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",4.24,0,1,1
259,7631105,James Dashner,2010,"The Scorch Trials (Maze Runner, #2)",3.93,0,1,1
260,4865,Dale Carnegie,1936,How to Win Friends and Influence People,4.13,0,1,1
261,480479,Frances Mayes,1996,Under the Tuscan Sun,3.72,0,1,1
262,19486412,Liane Moriarty,2014,Big Little Lies,4.2,0,1,1
263,24337,Gail Carson Levine,1997,Ella Enchanted,3.97,0,1,1
264,3876,Ernest Hemingway,1926,The Sun Also Rises,3.83,0,1,1
265,14891,Betty  Smith,1943,A Tree Grows in Brooklyn,4.24,0,1,1
266,13148,James Patterson,1995,"Kiss the Girls (Alex Cross, #2)",3.93,0,1,1
267,21853621,Kristin Hannah,2015,The Nightingale,4.54,0,1,1
268,6334,Kazuo Ishiguro,2005,Never Let Me Go,3.8,0,1,1
269,366522,Cecelia Ahern,2003,P.S. I Love You,4.01,0,1,1
270,12873,"Daphne du Maurier, Sally Beauman",1938,Rebecca,4.2,0,1,1
271,18373,Daniel Keyes,1966,Flowers for Algernon,4.07,0,1,1
272,6952,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,Like Water for Chocolate,3.94,0,1,1
273,1103,Lisa See,2005,Snow Flower and the Secret Fan,4.05,0,1,1
274,22034,"Mario Puzo, Robert Thompson, Peter Bart",1969,The Godfather,4.36,0,1,1
275,49750,John Green,2006,An Abundance of Katherines,3.63,0,1,1
276,29579,Isaac Asimov,1951,Foundation (Foundation #1),4.13,0,1,1
277,15783514,Neil Gaiman,2013,The Ocean at the End of the Lane,3.99,0,1,1
278,30118,Shel Silverstein,1981,A Light in the Attic,4.34,0,1,1
279,29056083,"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",3.75,0,1,1
280,11614718,Lauren Oliver,2011,"Delirium (Delirium, #1)",3.99,0,1,1
281,32499,John Grisham,1992,The Pelican Brief,3.95,0,1,1
282,17061,Neil Gaiman,2002,Coraline,4.03,0,1,1
283,12067,"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25,0,1,1
284,70401,Jack Kerouac,1955,On the Road,3.64,0,1,1
285,16181775,Graeme Simsion,2013,"The Rosie Project (Don Tillman, #1)",4.01,0,1,1
286,3063499,Nicholas Sparks,2008,The Lucky One,4.1,0,1,1
287,2122,"Ayn Rand, Leonard Peikoff",1943,The Fountainhead,3.85,0,1,1
288,19691,Tom Clancy,1984,"The Hunt for Red October (Jack Ryan Universe, #4)",4.01,0,1,1
289,76620,Richard Adams,1972,"Watership Down (Watership Down, #1)",4.05,0,1,1
290,10335308,Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Concerns),3.84,0,1,1
291,3591262,Abraham Verghese,2009,Cutting for Stone,4.28,0,1,1
292,140225,"C.S. Lewis, Pauline Baynes",1951,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",4.08,0,1,1
293,295,Robert Louis Stevenson,1882,Treasure Island,3.82,0,1,1
294,9520360,Rick Riordan,2011,"The Son of Neptune (The Heroes of Olympus, #2)",4.44,0,1,1
295,10644930,Stephen King,2011,11/22/1963,4.29,0,1,1
296,4948,Eric Carle,1969,The Very Hungry Caterpillar Board Book,4.29,0,1,1
297,135479,Kurt Vonnegut Jr.,1963,Cat's Cradle,4.18,0,1,1
298,2493,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine,3.87,0,1,1
299,7933292,"Todd Burpo, Lynn Vincent",2010,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,4.01,0,1,1
300,39999,John Boyne,2006,The Boy in the Striped Pajamas,4.1,0,1,1
301,4900,Joseph Conrad,1899,Heart of Darkness,3.42,0,1,1
302,7812659,Nicholas Sparks,2010,Safe Haven,4.19,0,1,1
303,52529,Rhonda Byrne,2006,"The Secret (The Secret, #1)",3.62,0,1,1
304,227711,Wally Lamb,1998,I Know This Much Is True,4.17,0,1,1
305,10583,Stephen King,1983,Pet Sematary,3.91,0,1,1
306,5203,Wally Lamb,1992,She's Come Undone,3.84,0,1,1
307,1215032,Patrick Rothfuss,2011,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",4.57,0,1,1
308,33724,Sophie Kinsella,2003,Can You Keep a Secret?,3.83,0,1,1
309,6752378,Cassandra Clare,2011,"City of Fallen Angels (The Mortal Instruments, #4)",4.16,0,1,1
310,14748,Jennifer Weiner,2001,"Good in Bed (Cannie Shapiro, #1)",3.7,0,1,1
